danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.631,0.924,0,-5.589,1,0.146,0.0841,3.59e-06,0.084,0.755,100.045
0.502,0.842,2,-5.383,1,0.0413,0.234,0.00012,0.194,0.724,89.205
0.497,0.849,9,-5.352,1,0.0612,0.00985,0.0,0.106,0.72,169.937
0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559
0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18
0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811
0.334,0.854,4,-7.531,0,0.0494,0.00235,0.00114,0.158,0.284,100.175
0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897
0.529,0.768,7,-5.51,1,0.0566,0.00224,0.00075,0.297,0.769,127.316
0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086
0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535
0.538,0.432,2,-11.882,1,0.0295,0.000185,0.309,0.139,0.116,110.181
0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812
0.458,0.843,4,-7.201,1,0.0316,0.00135,0.000296,0.778,0.713,105.701
0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97
0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
0.455,0.758,0,-11.361,1,0.0454,0.223,2.51e-06,0.0986,0.54,141.304
0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803
0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056
0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
0.576,0.974,1,-2.785,1,0.0828,0.0202,0.0,0.348,0.531,129.088
0.414,0.851,2,-8.714,1,0.0413,0.0675,0.0047,0.333,0.567,158.907
0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634
0.886,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99
0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047
0.504,0.918,0,-3.463,1,0.0517,0.00164,2.12e-05,0.78,0.539,92.031
0.805,0.839,1,-4.035,0,0.0501,0.0164,1.22e-06,0.311,0.923,125.034
0.77,0.801,9,-4.182,0,0.0336,0.00375,0.00281,0.0515,0.725,130.76
0.596,0.732,2,-6.189,1,0.0401,0.0153,0.0,0.318,0.228,99.98
0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853
0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14
0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939
0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
0.519,0.494,5,-8.03,1,0.0275,0.0287,3.34e-05,0.0892,0.482,138.524
0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445
0.59,0.51,4,-9.456,1,0.0384,0.0487,8.79e-05,0.0819,0.331,141.939
0.486,0.769,1,-5.14,1,0.0341,0.0119,0.00832,0.197,0.393,131.286
0.843,0.702,6,-4.981,0,0.0462,0.0499,0.000306,0.308,0.882,125.464
0.794,0.798,8,-5.639,1,0.0366,0.429,1.16e-05,0.118,0.265,100.338
0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055
0.418,0.773,10,-6.187,1,0.0305,0.01,0.00418,0.269,0.273,89.961
0.426,0.87,9,-3.821,0,0.0621,0.096,0.0,0.112,0.414,169.946
0.543,0.917,1,-3.391,1,0.0444,0.00572,7.76e-05,0.104,0.329,132.246
0.377,0.942,1,-4.543,0,0.07,0.00092,8.88e-05,0.126,0.348,129.955
0.49,0.951,1,-3.777,1,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946
0.112,0.591,0,-8.84,1,0.0579,0.304,0.643,0.822,0.0529,85.434
0.543,0.696,7,-4.572,1,0.0426,0.601,0.215,0.384,0.849,92.15
0.588,0.77,10,-6.617,1,0.0324,0.0244,7.79e-05,0.088,0.58,102.998
0.499,0.958,9,-5.417,1,0.0898,0.000326,2.19e-06,0.432,0.359,127.491
0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998
0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963
0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246
0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987
0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949
0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003
0.658,0.282,2,-8.282,0,0.0353,0.433,0.0,0.0741,0.39,119.757
0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022
0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525
0.666,0.423,0,-8.012,1,0.043,0.494,0.0,0.106,0.154,129.89
0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999
0.613,0.857,1,-5.492,0,0.0366,0.0012,0.0,0.358,0.664,124.987
0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907
0.322,0.377,7,-7.385,0,0.0356,0.454,0.0,0.338,0.366,118.669
0.538,0.804,8,-5.194,1,0.0358,0.0041,0.0,0.33,0.507,144.992
0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444
0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021
0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915
0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905
0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017
0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045
0.564,0.717,10,-6.403,0,0.397,0.097,0.0,0.493,0.423,117.489
0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992
0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952
0.578,0.654,1,-12.421,0,0.0562,0.121,3.62e-06,0.0673,0.621,129.513
0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949
0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996
0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668
